date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:13:40	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Apr%202020%2013:43:26%20GMT	http://jessdesigntan.com/robots.txt		(from )
19:13:40	7440/7440	---M-Z	200	added ('OK')	text/html	etag:%223182455-1d10-584d863595e0f-gzip%22	http://jessdesigntan.com/	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/index.html	(from )
19:13:40	12614/12614	---M--	200	added ('OK')	text/css	etag:%2231820aa-3146-57808d8726380%22	http://jessdesigntan.com/css/bootstrap.min.css	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/css/bootstrap.min.css	(from http://jessdesigntan.com/)
19:13:41	32469/32469	---M--	200	added ('OK')	text/css	etag:%2231822d3-7ed5-583446cec6600%22	http://jessdesigntan.com/css/style.css	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/css/style.css	(from http://jessdesigntan.com/)
19:13:42	57095/57095	---M--	200	added ('OK')	text/css	etag:%2231820ba-df07-5781c9521f000%22	http://jessdesigntan.com/css/animate.css	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/css/animate.css	(from http://jessdesigntan.com/)
19:13:43	1388/1388	---M--	200	added ('OK')	image/png	etag:%223182291-56c-578a401b28680%22	http://jessdesigntan.com/images/favicon.png	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/favicon.png	(from http://jessdesigntan.com/)
19:13:43	15242/15242	---M--	200	added ('OK')	application/javascript	etag:%223221709-3b8a-5781c96625f40%22	http://jessdesigntan.com/js/wow.js	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/js/wow.js	(from http://jessdesigntan.com/)
19:13:45	8440/8440	---M-Z	200	added ('OK')	text/html	etag:%223182299-20f8-58344ab822080-gzip%22	http://jessdesigntan.com/workitout.html	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/workitout.html	(from http://jessdesigntan.com/)
19:13:53	54853/54853	---M--	200	added ('OK')	image/jpeg	etag:%223182285-d645-58344677fd940%22	http://jessdesigntan.com/images/jess.jpg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/jess.jpg	(from http://jessdesigntan.com/)
19:13:53	50352/50352	---M--	200	added ('OK')	image/png	etag:%223182289-c4b0-5780dea0a3a00%22	http://jessdesigntan.com/images/fitness-logo.png	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/fitness-logo.png	(from http://jessdesigntan.com/)
19:13:53	12091/12091	---M-Z	200	added ('OK')	text/html	etag:%223182298-2f3b-58344ab639c00-gzip%22	http://jessdesigntan.com/timezone.html	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/timezone.html	(from http://jessdesigntan.com/)
19:13:54	6987/6987	---M-Z	200	added ('OK')	text/html	etag:%223182295-1b4b-58344aa41b140-gzip%22	http://jessdesigntan.com/sharession.html	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/sharession.html	(from http://jessdesigntan.com/)
19:13:56	16449/16449	---M--	200	added ('OK')	image/png	etag:%22318225a-4041-5780d4b8d1b40%22	http://jessdesigntan.com/images/timezone_logo.png	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/timezone_logo.png	(from http://jessdesigntan.com/)
19:13:56	12529/12529	---M--	200	added ('OK')	image/png	etag:%22318226f-30f1-57831d06ba740%22	http://jessdesigntan.com/images/sharession_logo.png	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/sharession_logo.png	(from http://jessdesigntan.com/)
19:13:56	4805/4805	---M-Z	200	added ('OK')	text/html	etag:%223182296-12c5-58344aaac8100-gzip%22	http://jessdesigntan.com/sqrl.html	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/sqrl.html	(from http://jessdesigntan.com/)
19:13:57	2901/2901	---M--	200	added ('OK')	image/svg+xml	etag:%223182282-b55-5780a43f9be40%22	http://jessdesigntan.com/images/sqrl_logo.svg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/sqrl_logo.svg	(from http://jessdesigntan.com/)
19:13:57	7100/7100	---M-Z	200	added ('OK')	text/html	etag:%223182293-1bbc-58344a95ccf80-gzip%22	http://jessdesigntan.com/dearcarrie.html	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/dearcarrie.html	(from http://jessdesigntan.com/)
19:13:57	4102/4102	---M--	200	added ('OK')	image/svg+xml	etag:%22318227b-1006-54236c2d59e00%22	http://jessdesigntan.com/images/dc_logo.svg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/dc_logo.svg	(from http://jessdesigntan.com/)
